Name;fit;se.fit;Syllable;Sonority.average;final.sound;Group
Kiękur;0.0337;0.0179;2;5.00;not /a/;A1
Jundąsz;0.0412;0.0210;2;5.43;not /a/;A1
Krasmąt;0.0337;0.0179;2;5.00;not /a/;A1
Prumid;0.0337;0.0179;2;5.00;not /a/;A1
Ronpic;0.0181;0.0112;2;5.00;not /a/;A1
Noje;0.8588;0.0492;2;7.50;not /a/;A2
Męje;0.6618;0.0628;2;7.00;not /a/;A2
Jęli;0.6025;0.0687;2;7.00;not /a/;A2
Zamje;0.6898;0.0644;2;7.00;not /a/;A2
Majze;0.6618;0.0628;2;7.00;not /a/;A2
Zekca;0.0003;0.0003;2;3.00;/a/;B1
Boszta;0.0003;0.0004;2;3.00;/a/;B1
Poga;0.0004;0.0004;2;3.00;/a/;B1
Coka;0.0003;0.0004;2;3.00;/a/;B1
Pręsza;0.0036;0.0031;2;4.00;/a/;B1
Łędra;0.0117;0.0082;2;4.86;/a/;B2
Jała;0.1355;0.0434;2;6.00;/a/;B2
Noja;0.0356;0.0178;2;5.25;/a/;B2
Żeja;0.0232;0.0131;2;5.00;/a/;B2
Gierja;0.0191;0.0115;2;4.80;/a/;B2
Łubtąty;0.0669;0.0350;3;5.13;not /a/;C1
Dravramty;0.3726;0.0740;3;5.78;not /a/;C1
Seczinti;0.1090;0.0445;3;5.14;not /a/;C1
Jetecy;0.2598;0.0693;3;5.83;not /a/;C1
Jumklimu;0.3405;0.0723;3;6.00;not /a/;C1
Pemenęwe;0.8578;0.0660;4;6.22;not /a/;C2
Jinole;0.9134;0.0304;3;7.33;not /a/;C2
Jiżame;0.8801;0.0364;3;7.17;not /a/;C2
Łaczelu;0.8331;0.0430;3;7.00;not /a/;C2
Jarmewe;0.8727;0.0376;3;7.14;not /a/;C2
Pekota;0.0038;0.0037;3;3.50;/a/;D1
Peczkliwa;0.0090;0.0074;3;3.88;/a/;D1
Duczeka;0.0049;0.0045;3;3.67;/a/;D1
Peducza;0.0056;0.0050;3;3.67;/a/;D1
Keczuka;0.0038;0.0037;3;3.50;/a/;D1
Tojanza;0.1364;0.0545;3;5.14;/a/;D2
Beruzja;0.1221;0.0488;3;5.14;/a/;D2
Mabania;0.5320;0.1226;4;5.71;/a/;D2
Nerszuma;0.0865;0.0389;3;5.14;/a/;D2
Brynansia;0.3544;0.1285;4;5.22;/a/;D2
Izabela;;;;;;Filler-fem
Maja;;;;;;Filler-fem
Joanna;;;;;;Filler-fem
Karolina;;;;;;Filler-fem
Anna;;;;;;Filler-fem
Liliana;;;;;;Filler-fem
Gustaw;;;;;;Filler-msc
Ludwik;;;;;;Filler-msc
Piotr;;;;;;Filler-msc
Krzysztof;;;;;;Filler-msc
Patryk;;;;;;Filler-msc
Grzegorz;;;;;;Filler-msc
